date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:12	11820/11820	---MCZ	200	added ('OK')	application/javascript	etag:%229e826d441cdfd23a93900105c9cdac11-ssl-df%22	https://watson-vcard.netlify.app/js/main.js	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/js/main.js	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:12	1105/1105	---M-Z	200	added ('OK')	application/javascript	etag:%22cfea1fbe1390ecf48c11635061a427a2-ssl-df%22	https://watson-vcard.netlify.app/js/main-demo.js	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/js/main-demo.js	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:13	161363/161363	---MCZ	200	added ('OK')	text/css	etag:%227581fbd087483ef4cb89d6565c7aaace-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/bootstrap.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/bootstrap.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:13	45687/45687	---MCZ	200	added ('OK')	text/css	etag:%229504482926567ad81caf6110c71954d2-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/font-awesome.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/font-awesome.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:14	8380/8380	---MCZ	200	added ('OK')	text/css	etag:%22d3e48b8383848057ec2e6d94baf8f399-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/linear-icons.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/linear-icons.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:14	45614/45614	---MCZ	200	added ('OK')	text/css	etag:%222db4628d344f018b814cb516176e7a05-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/animations.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/animations.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:15	28706/28706	---MCZ	200	added ('OK')	text/css	etag:%22a2b3157f3de8d0ee7c14ce831cdf344f-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/jquery.animatedheadline.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/jquery.animatedheadline.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:15	3351/3351	---MCZ	200	added ('OK')	text/css	etag:%22873d102310523db811ebc62724307bfc-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/owl.carousel.min.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/owl.carousel.min.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:15	1013/1013	---M--	200	added ('OK')	text/css	etag:%221476dd3bc3f316818799abecb07b1ea5-ssl%22	https://watson-vcard.netlify.app/css/plugins/owl.theme.default.min.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/owl.theme.default.min.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:16	7302/7302	---MCZ	200	added ('OK')	text/css	etag:%220be8f2bfe2d7670f2dca0badb08e65c9-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/magnific-popup.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:17	3890/3890	---MCZ	200	added ('OK')	text/css	etag:%22db8e02722fe67bd7c8c333e1476ef2a6-ssl-df%22	https://watson-vcard.netlify.app/css/plugins/simplebar.css	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/css/plugins/simplebar.css	(from https://watson-vcard.netlify.app/css/plugins.css)
01:47:17	27485/27485	---M--	200	added ('OK')	image/jpeg	etag:%22d98fc7767c4a081ace169fb1758ab716-ssl%22	https://watson-vcard.netlify.app/img/single-work/img-1.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/single-work/img-1.jpg	(from https://watson-vcard.netlify.app/single-work.html)
01:47:18	32404/32404	---M--	200	added ('OK')	image/jpeg	etag:%22e75e7e8abd7948d9a9429cebd71cd51f-ssl%22	https://watson-vcard.netlify.app/img/single-work/img-2.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/single-work/img-2.jpg	(from https://watson-vcard.netlify.app/single-work.html)
01:47:18	53832/53832	---MCZ	200	added ('OK')	text/html	etag:%2261e4897f51cdb8355d322b5af94b2754-ssl-df%22	https://watson-vcard.netlify.app/index-dark.html	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/index-dark.html	(from https://watson-vcard.netlify.app/blog-dark.html)
01:47:19	4576/4576	---M--	200	added ('OK')	image/jpeg	etag:%22f35a316d7e8412f2f6bcd2c3ed657c1b-ssl%22	https://watson-vcard.netlify.app/img/blog/authors/author-1.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/authors/author-1.jpg	(from https://watson-vcard.netlify.app/blog-dark.html)
01:47:19	630885/630885	---M--	200	added ('OK')	image/jpeg	etag:%22def6e895bde80649657bbe020983ec25-ssl%22	https://watson-vcard.netlify.app/img/blog/blog-page-img.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/blog-page-img.jpg	(from https://watson-vcard.netlify.app/blog-dark.html)
